Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),2196,1681,2072,1723,,1604,3368,3369
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),2181,1703,2072,1723,,1606,3378,3370
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),2190,1689,2072,1722,,1607,3378,3371
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),2186,1685,2067,1720,,1593,3378,3370
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),2193,1701,2076,1724,,1603,3378,3371
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),2180,1681,2067,1709404,,1607,3381,3363
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),2199572,1699,2066,1720996,2053,1606,3382,3362
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),2182,1680,2067,1723740,2053,1606,3379,3363
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),2182,1680,2067,1723740,2053,1606,3379,3363
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),2191,1687,2065,1716,2064,1595696,3379,3367
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),2196,1686,2062,1723404,2052,1612,3382,3360
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),2195,1689,2066,1725516,2050,1595,3378,3359
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),2179520,1683,2078,1728472,2048268,1605,3379,3365
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),2175,1680,2064,1722176,2049736,1604,3380,3360
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),2184,1676,2069,1723132,2064424,1605,3380,3359
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",2183,1697,2065,1726316,2048560,1604,3381,3359
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),2185,1687,2063,1727288,2049260,1603,3385,3367
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),2196,1677,2062068,1737088,,1591,3248,3234
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),2177,1688,2064400,1711212,2061,1613,3243,3227
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",2184,1694,2062,1713896,2046,1617,3243,3228
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),2181,1699,2061,1722120,2048,1595,3245,3228
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),2187,1701,2062656,1722572,2049,1595,3248,3229
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),2182,1690,2064184,1704904,2060,1604,3239,3228
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",2184,1677,2072,1720,2059,1602,3243,3225
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),2185,1676,2068,1711096,2049,1615,3231,3229
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),2185,1676,2068,1723,2049,,3231,3229
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),2185,1691,2067,1730440,3214,,3223,3227
