Hash,orion,hera,gaeac6
688de8eb,,2286,2091
7e711129,2211,2294,2089
d4bac232,2211,2294,2089
118cff46,2215,2263,2084
071b9f95,2214,2314,2084
dc9cfba6,2206,2306,2084
a180bbe4,,2303,2095
417a2cf1,2200,2305,2089
61e54d9b,2211,2304,2086
ce74044c,2216,2310,2093
d820b67f,2199,2299,2091
5e13aaf2,2206,2307,
e39a250c,2203,2301,
8b52797d,2207,2292,2083
93d51aef,2209,2298,2082
c5b3a3c8,2203,2308,
f9c10462,2212,2304,
0e960577,2208,2308,2086
065def80,2202,2297,2085
995c51d1,2202,2297,2085
1f0ab432,2212,3390,2079
8f8fddc8,2210,3414,2095
24d8dfd4,2198,3391,2079
5750b9e3,2203,3412,2091
a9999828,,3407,2079
9193010a,2202,3400,2080
43f2c3bd,2202,3400,2079
f22b2e11,2202,3400,2079
aebf9781,2198,3388,2085
4cbe50f4,2199,3374,2084
269e181a,2199,3374,2084
68fd7faa,2197,3392,2082
1c5a9f12,2197,3385,2082
aba31a4e,2195,3383,2089
b81282e5,2195,3383,2089
5a297a6e,2213,3381,2081
ff162f36,2195,3383,2075
9e4778cd,2210,3393,2085
4a566203,2207,3374,2075
4f0111b2,2204,3380,2082
c0d4de3c,2211,3372,2088
7cc588ae,2213,3394,2083
9b9a6304,2208,3420,2082
4e75e7b4,2200,3398,2080
69d03840,2216,3393,2088
0d1af3e3,2196,3410,2088
6ece76a2,2208,3401,2091
c5f801e4,2214,3389,2088
f7d8b0cd,2217,3389,2095
a8c1628d,2209,3403,2086
