Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),3070676,3020,,3158780,,3455,,
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),3082,3064,,3162664,,3474,,
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),3082,3064,,3162664,,3474,,
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),3089,3060,,3153,,3453780,,
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),3077,3071,,3146352,,3479,,
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),3050,3067,,3152688,,3475,,
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),3079,3060,,3155512,,3483,,
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),3080,3068,,3169020,,3473,,
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),3078,3069,,3166892,,3443,,
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",3094,3042,,3154092,,3454,,
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),3082,3066,,3164300,,3460,,
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),3078,3076,,3148356,,3456,,
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),3080,3072,,3172352,,3435,,
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",3072,3069,,3135476,,3434,,
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),3077,3070,,3149652,,3466,,
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),3070,3052,,3136628,,3439,,
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),3079,3044,,3146964,,3460,,
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",3066,3069,,3141,,3458,,
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),3075,3068,,3159892,,3443,,
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),3075,3068,,3150,,,,
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),3082,4394,3093,3146680,,,,
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),3072,4410,3089,3162,,,,
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),3067,4397,3081,3142220,,,,
5750b9e3,2025-06-20,gcycle update (#2747),3069,4399,3074,3146460,,,,
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),3075,4404,3072,3183684,,,,
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",3068,4399,3069,3139,,,,
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),3068,4396,3071,3151072,,,,
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),3068,4396,3071,3151072,,,,
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),3071,4384,3070,3147452,,,,
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",3077,4347,3076,3142496,,,,
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),3077,4347,3076,3142496,,,,
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",3071,4373,3079,3149280,,,,
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",3071,4398,3079,3153620,,,,
