Hash,orion,hera,gaeac6
688de8eb,,2265,2067
7e711129,2180,2272,2067
d4bac232,2180,2272,2067
118cff46,2179,2242,2064
071b9f95,2179,2273,2063
dc9cfba6,2171,2260,2056
a180bbe4,,2267,2062
417a2cf1,2174,2261,2061
61e54d9b,2175,2259,2059
ce74044c,2183,2273,2063
d820b67f,2176,2257,2056
5e13aaf2,2168,2243,
e39a250c,2172,2263,
8b52797d,2172,2268,2057
93d51aef,2174,2256,2064
c5b3a3c8,2171,2271,
f9c10462,2173,2269,
0e960577,2181,2256,2062
065def80,2178,2240,2060
995c51d1,2178,2240,2060
1f0ab432,2182,3358,2061
8f8fddc8,2191,3364,2055
24d8dfd4,2173,3375,2058
5750b9e3,2172,3383,2052
a9999828,,3378,2058
9193010a,2179,3390,2060
43f2c3bd,2174,3382,2068
f22b2e11,2174,3382,2068
aebf9781,2154,3357,2058
4cbe50f4,2176,3346,2056
269e181a,2176,3346,2056
68fd7faa,2180,3390,2059
1c5a9f12,2180,3388,2059
aba31a4e,2176,3359,2055
b81282e5,2176,3359,2055
5a297a6e,2168,3357,2058
ff162f36,2167,3357,2050
9e4778cd,2162,3370,2066
4a566203,2177,3347,2054
4f0111b2,2173,3357,2053
c0d4de3c,2170,3354,2062
7cc588ae,2169,3379,2062
9b9a6304,2177,3375,2054
4e75e7b4,2185,3377,2056
69d03840,2184,3363,2061
0d1af3e3,2173,3372,2061
6ece76a2,2188,3383,2054
c5f801e4,2175,3361,2063
f7d8b0cd,2172,3381,2062
a8c1628d,2186,3376,2057
