Hash,orion,hera,gaeac6
688de8eb,,1896,1606
7e711129,1781,1892,1605
d4bac232,1781,1892,1605
118cff46,1782,1882,1603
071b9f95,1785,1898,1605
dc9cfba6,1778,1908,1607
a180bbe4,,1903,1610
417a2cf1,1780,1902,1605
61e54d9b,1780,1874,1602
ce74044c,1782,1894,1604
d820b67f,1776,1895,1594
5e13aaf2,1765,1875,
e39a250c,1764,1889,
8b52797d,1765,1884,1577
93d51aef,1773,1880,1585
c5b3a3c8,1768,1882,
f9c10462,1771,1891,
0e960577,1770,1885,1580
065def80,1773,1860,1580
995c51d1,1773,1860,1580
1f0ab432,1792,3305,1625
8f8fddc8,1793,3318,1622
24d8dfd4,1792,3293,1630
5750b9e3,1788,3312,1626
a9999828,,3309,1628
9193010a,1792,3316,1631
43f2c3bd,1793,3314,1629
f22b2e11,1793,3314,1629
aebf9781,1794,3290,1629
4cbe50f4,1790,3272,1628
269e181a,1790,3272,1628
68fd7faa,1797,3309,1629
1c5a9f12,1797,3281,1629
aba31a4e,1793,3294,1631
b81282e5,1793,3294,1631
5a297a6e,1787,3280,1610
ff162f36,1787,3288,1606
9e4778cd,1788,3278,1607
4a566203,1791,3282,1607
4f0111b2,1789,3288,1610
c0d4de3c,1790,3273,1611
7cc588ae,1788,3319,1608
9b9a6304,1790,3308,1609
4e75e7b4,1794,3319,1618
69d03840,1790,3282,1616
0d1af3e3,1792,3312,1616
6ece76a2,1802,3313,1622
c5f801e4,1804,3307,1624
f7d8b0cd,1797,3295,1627
a8c1628d,1792,3293,1620
