Hash,orion,hera,gaeac6
688de8eb,,1740,1605
7e711129,1746,1732,1601
d4bac232,1746,1732,1601
118cff46,1755,1733,1600
071b9f95,1757,1738,1601
dc9cfba6,1758,1738,1602
a180bbe4,,1738,1601
417a2cf1,1747,1736,1605
61e54d9b,1748,1731,1607
ce74044c,1753,1745,1603
d820b67f,1751,1738,1600
5e13aaf2,1742,1737,
e39a250c,1752,1727,
8b52797d,1745,1717,1578
93d51aef,1741,1739,1578
c5b3a3c8,1747,1740,
f9c10462,1744,1727,
0e960577,1744,1735,1583
065def80,1746,1722,1584
995c51d1,1746,1722,1584
1f0ab432,1781,3261,1625
8f8fddc8,1782,3246,1623
24d8dfd4,1782,3258,1620
5750b9e3,1782,3256,1618
a9999828,,3250,1623
9193010a,1778,3261,1624
43f2c3bd,1776,3246,1609
f22b2e11,1776,3246,1609
aebf9781,1779,3235,1620
4cbe50f4,1776,3218,1619
269e181a,1776,3218,1619
68fd7faa,1775,3234,1623
1c5a9f12,1775,3254,1623
aba31a4e,1774,3235,1619
b81282e5,1774,3235,1619
5a297a6e,1777,3232,1618
ff162f36,1781,3233,1621
9e4778cd,1786,3221,1619
4a566203,1775,3213,1618
4f0111b2,1783,3228,1621
c0d4de3c,1779,3223,1620
7cc588ae,1784,3252,1619
9b9a6304,1773,3247,1622
4e75e7b4,1781,3254,1617
69d03840,1786,3231,1614
0d1af3e3,1783,3262,1614
6ece76a2,1782,3214,1617
c5f801e4,1783,3251,1618
f7d8b0cd,1785,3233,1622
a8c1628d,1768,3253,1618
