Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),2160660,2261,1915,2237252,2032,3080,3340,3335
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),2157,2263,1918,2236148,2032,3109,3332,3337
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),2157,2263,1918,2236148,2032,3109,3332,3337
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),2130,2257,1915,2251,2047,3146940,3336,3335
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),2165,2244,1915,2249296,2043,3119,3337,3331
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),2165,2257,1920,2248488,2047,3153,3336,3332
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),2171172,2259,1923,2244776,2044636,3088,3334,3332
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),2155,2257,1920,2241908,2054660,3134,3338,3331
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),2169,2222,1920,2233680,2036032,3164,3335,3335
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",2161,2255,1921,2247012,2044276,3156,3335,3333
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),2161,2263,1919,2251460,2046200,3086,3334,3338
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),2167,2257,1919608,2240328,2046,3130,3202,3205
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),2158,2261,1920172,2229652,2046,3110,3202,3202
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",2152,2254,1916,2239096,2037,3087,3201,3207
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),2158,2244,1915,2229656,2047,3083,3202,3200
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),2172,2251,1919764,2235604,2048,3087,3200,3200
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),2168,2236,1913952,2238228,2046,3140,3199,3203
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",2170,2255,1910,2238,2058,3119,3199,3199
