Hash,orion,hera,gaeac6
688de8eb,,566,279
7e711129,550,577,281
d4bac232,550,577,281
118cff46,549,570,286
071b9f95,687,568,286
dc9cfba6,813,568,282
a180bbe4,,569,278
417a2cf1,545,566,281
61e54d9b,549,564,279
ce74044c,548,573,279
d820b67f,549,572,281
5e13aaf2,546,578,
e39a250c,546,573,
8b52797d,547,570,280
93d51aef,548,611,280
c5b3a3c8,547,570,
f9c10462,546,648,
0e960577,549,635,279
065def80,552,569,280
995c51d1,552,569,280
1f0ab432,547,573,279
8f8fddc8,612,565,278
24d8dfd4,536,576,277
5750b9e3,602,567,275
a9999828,,567,275
9193010a,538,575,276
43f2c3bd,540,574,274
f22b2e11,540,574,274
aebf9781,536,575,276
4cbe50f4,566,569,276
269e181a,566,569,276
68fd7faa,596,578,275
1c5a9f12,596,579,275
aba31a4e,546,568,273
b81282e5,546,568,273
5a297a6e,604,572,274
ff162f36,548,572,277
9e4778cd,536,574,275
4a566203,577,577,282
4f0111b2,539,577,274
c0d4de3c,571,580,275
7cc588ae,537,586,274
9b9a6304,537,573,277
4e75e7b4,538,569,275
69d03840,539,573,276
0d1af3e3,540,573,276
6ece76a2,539,572,276
c5f801e4,535,572,278
f7d8b0cd,536,576,276
a8c1628d,537,575,275
