Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,399,265,,321,266,377,368
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),496,402,258,,321,261,369,356
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),496,402,258,,321,261,369,356
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),497,399,261,360,322,,371,359
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),609,400,264,,320,261,369,366
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),685,396,262,,320,271,370,365
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,399,261,,,261,373,368
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),493,400,259,,,264,372,357
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),500,400,259,,,267,369,370
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",494,399,257,,,265,445,361
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),497,405,260,,,261,373,376
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),495,401,,,324,254,375,361
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),494,400,,,324,259,371,365
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",496,403,259,,323,697,369,359
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),495,404,256,,323,265,371,360
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),496,404,,,323,290,365,366
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),496,503,,,323,266,372,365
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",496,554,258,362,323,287,364,354
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),503,407,259,,328,300,371,366
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),503,407,259,358,328,,371,366
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),496,401,259,,319,,370,357
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),567,403,259,360,321,,366,366
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),489,392,256,,316,,369,360
5750b9e3,2025-06-20,gcycle update (#2747),520,399,262,,315,,359,356
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),,395,254,,315,,361,361
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",495,394,264,,316,,359,364
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),491,395,258,,316,,362,355
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),491,395,258,,316,,362,355
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),488,398,260,,316,,370,354
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",531,395,262,,317,,365,363
