Hash,orion,hera,gaeac6
688de8eb,,492,280
7e711129,560,437,281
d4bac232,560,437,281
118cff46,549,435,286
071b9f95,748,437,289
dc9cfba6,918,442,281
a180bbe4,,438,280
417a2cf1,547,436,279
61e54d9b,548,438,279
ce74044c,547,436,280
d820b67f,547,444,279
5e13aaf2,546,438,
e39a250c,549,440,
8b52797d,548,437,280
93d51aef,549,438,280
c5b3a3c8,548,438,
f9c10462,559,533,
0e960577,549,589,279
065def80,549,441,278
995c51d1,549,441,278
1f0ab432,551,444,280
8f8fddc8,580,440,279
24d8dfd4,536,434,276
5750b9e3,551,429,277
a9999828,,430,274
9193010a,537,434,273
43f2c3bd,538,431,276
f22b2e11,538,431,276
aebf9781,536,435,276
4cbe50f4,554,1327,275
269e181a,554,1327,275
68fd7faa,570,432,276
1c5a9f12,570,429,276
aba31a4e,589,432,273
b81282e5,589,432,273
5a297a6e,599,433,275
ff162f36,539,430,276
9e4778cd,538,430,277
4a566203,539,434,277
4f0111b2,542,435,274
c0d4de3c,565,439,275
7cc588ae,539,433,276
9b9a6304,537,424,277
4e75e7b4,539,430,275
69d03840,537,431,274
0d1af3e3,536,429,274
6ece76a2,538,433,276
c5f801e4,539,431,281
f7d8b0cd,538,430,282
a8c1628d,536,430,275
