Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),385,503,250,394,367,334,535,407
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),493,503,249,465,367,337,419,400
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),457,510,247,395,367,342,446,405
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),417,502,248,391,367,335,431,404
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),417,502,248,391,367,335,431,404
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),396,496,249,393,376,343,424,393
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),847,506,256,447,378,337,432,412
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),721,503,250,402,341,340,442,406
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),386,491,267,400,377,337,428,397
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),383,490,247,404,379,335,467,403
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),440,515,247,398,382,347,447,398
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",395,503,243,425,371,344,415,396
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),385,501,246,389,378,336,425,396
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),382,502,248,393,378,342,415,399
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),380,512,245,467,378,341,431,402
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",454,506,245,399,394,340,427,399
