Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),312,139,177,114,,107,300,293
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),317,134,174,189,,108,334,297
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),267,138,171,186,,109,323,301
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),323,137,171,295,275,103,319,297
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),319,140,171,115,275,107,305,292
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),319,140,171,115,275,107,305,292
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),328,139,173,126,280,130,346,290
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),295,138,175,182,275,116,298,285
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),309,135,174,117,287,102,309,298
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),260,138,175,109,280,105,315,286
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),306,141,172,114,270,416,363,296
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),289,144,172,115,275,107,305,286
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",314,139,170,142,281,110,318,297
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),266,149,167,157,270,106,311,291
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),352,137,171,120,,107,300,281
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),284,147,173,104,276,111,327,295
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",305,142,170,108,292,106,312,287
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),321,300,172,111,275,128,379,289
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),313,138,173,169,289,107,310,295
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),311,200,171,188,264,105,288,283
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",288,187,170,151,277,182,292,294
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),259,136,172,112,273,105,292,283
