Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),189,180,114,220,,128,267,183
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),262,177,114,225,,144,204,184
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),267,296,114,151,,130,207,180
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),190,174,114,214,179,131,212,175
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),190,174,114,214,179,131,212,175
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),279,175,120,191,178,128,213,190
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),367,174,112,229,179,797,199,187
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),509,172,113,165,190,125,210,179
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),186,178,115,164,193,125,208,187
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),184,181,112,233,188,295,223,180
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),184,176,113,221,192,129,203,174
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",184,177,109,205,190,141,213,175
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),188,176,112,191,182,166,202,173
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),186,176,113,152,,134,203,180
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),185,181,113,212,184,133,226,180
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",194,176,111,148,191,125,220,177
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),187,173,110,213,186,125,244,182
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),225,184,114,198,188,150,199,176
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),237,296,114,158,187,128,187,184
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",185,351,112,229,188,189,198,173
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),194,180,111,148,,126,189,181
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),194,180,111,147,188,,189,181
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),194,176,113,150,175,,202,179
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),459,173,114,239,177,,191,179
