Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,188,121,,174,133,237,187
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),205,192,125,,174,132,234,194
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),205,192,125,,174,132,234,194
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),284,191,121,195,194,,217,196
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),467,186,128,,193,148,216,192
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),689,188,126,,192,301,246,188
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,198,127,,,130,217,201
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),199,189,125,,,277,246,190
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),201,190,122,,,137,228,186
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",200,189,120,,,137,244,193
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),199,189,118,,,150,231,187
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),200,194,,,188,159,202,186
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),200,186,,,188,137,244,188
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",288,187,119,,209,170,207,189
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),199,188,118,,196,138,270,194
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),282,186,,,184,132,217,186
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),202,309,,,185,136,204,192
