Hash,orion,hera,gaeac6
688de8eb,138,131,89
7e711129,134,128,90
d4bac232,134,128,90
118cff46,203,128,215
071b9f95,363,122,90
dc9cfba6,520,129,92
a180bbe4,,139,94
417a2cf1,127,120,89
61e54d9b,144,123,87
ce74044c,136,129,87
d820b67f,168,128,87
5e13aaf2,125,124,
e39a250c,125,122,
8b52797d,128,126,91
93d51aef,127,136,87
c5b3a3c8,172,131,
f9c10462,,,
0e960577,,,
065def80,,,
995c51d1,,,
1f0ab432,,,
8f8fddc8,,,
24d8dfd4,,,
5750b9e3,,,
a9999828,,,
9193010a,,,
43f2c3bd,,,
f22b2e11,,,
aebf9781,,,
4cbe50f4,,,
269e181a,,,
68fd7faa,,,
1c5a9f12,,,
aba31a4e,,,
b81282e5,,,
5a297a6e,,,
ff162f36,,,
9e4778cd,,,
4a566203,,,
4f0111b2,,,
c0d4de3c,,,
7cc588ae,,,
9b9a6304,,,
4e75e7b4,,,
69d03840,,,
0d1af3e3,,,
6ece76a2,,,
c5f801e4,,,
f7d8b0cd,,,
a8c1628d,,,
