Hash,orion,hera,gaeac6
688de8eb,,59,42
7e711129,67,61,43
d4bac232,67,61,43
118cff46,69,59,51
071b9f95,167,57,44
dc9cfba6,293,59,41
a180bbe4,,58,42
417a2cf1,68,57,44
61e54d9b,64,62,41
ce74044c,65,59,41
d820b67f,65,58,42
5e13aaf2,64,59,
e39a250c,64,58,
8b52797d,65,61,41
93d51aef,66,59,41
c5b3a3c8,66,58,
f9c10462,64,175,
0e960577,67,208,40
065def80,64,58,40
995c51d1,64,58,40
1f0ab432,65,62,40
8f8fddc8,197,59,41
24d8dfd4,67,61,41
5750b9e3,68,63,40
a9999828,,60,40
9193010a,68,60,41
43f2c3bd,75,61,40
f22b2e11,75,61,40
aebf9781,66,60,42
4cbe50f4,150,61,42
269e181a,150,61,42
68fd7faa,69,61,41
1c5a9f12,69,60,41
aba31a4e,75,62,42
b81282e5,75,62,42
5a297a6e,158,68,40
ff162f36,65,61,40
9e4778cd,66,59,40
4a566203,68,72,41
4f0111b2,66,64,40
c0d4de3c,118,63,40
7cc588ae,65,64,40
9b9a6304,65,61,40
4e75e7b4,65,65,42
69d03840,66,60,41
0d1af3e3,67,59,41
6ece76a2,65,64,41
c5f801e4,65,65,41
f7d8b0cd,66,63,41
a8c1628d,67,65,41
