Hash,orion,hera,gaeac6
688de8eb,,121,51
7e711129,88,123,52
d4bac232,88,123,52
118cff46,89,127,89
071b9f95,91,122,52
dc9cfba6,182,120,53
a180bbe4,,121,52
417a2cf1,87,124,52
61e54d9b,62,86,43
ce74044c,63,86,41
d820b67f,62,87,41
5e13aaf2,63,89,
e39a250c,63,85,
8b52797d,61,85,43
93d51aef,64,87,41
c5b3a3c8,64,86,
f9c10462,62,173,
0e960577,89,194,42
065def80,94,89,42
995c51d1,94,89,42
1f0ab432,76,88,42
8f8fddc8,250,91,42
24d8dfd4,62,87,42
5750b9e3,67,90,41
a9999828,,93,42
9193010a,73,91,41
43f2c3bd,64,90,43
f22b2e11,64,90,43
aebf9781,66,92,42
4cbe50f4,107,85,42
269e181a,107,85,42
68fd7faa,65,91,42
1c5a9f12,65,99,42
aba31a4e,143,101,43
b81282e5,143,101,43
5a297a6e,82,102,43
ff162f36,65,103,42
9e4778cd,68,104,43
4a566203,66,103,42
4f0111b2,63,97,42
c0d4de3c,66,103,43
7cc588ae,64,103,42
9b9a6304,63,99,42
4e75e7b4,63,100,43
69d03840,66,103,42
0d1af3e3,64,101,42
6ece76a2,65,100,42
c5f801e4,64,96,43
f7d8b0cd,65,98,44
a8c1628d,66,98,42
