Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,286,111,,150,179,202,180
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),229,291,110,,150,180,184,189
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),229,291,110,,150,180,184,189
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),222,300,131,230,150,,191,173
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),232,290,109,,150,176,183,183
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),352,290,110,,151,457,182,184
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,283,108,,,173,184,182
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),222,286,109,,,188,194,175
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),148,196,80,,,134,146,134
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",148,187,79,,,128,134,130
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),154,189,78,,,124,133,136
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),151,187,,,109,125,140,132
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),148,217,,,109,122,139,139
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",147,186,78,,109,125,141,132
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),156,193,77,,108,133,156,137
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),149,186,,,106,124,139,129
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),147,296,,,105,124,133,131
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",146,218,79,144,110,202,143,128
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),348,187,81,,111,1137,128,133
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),348,187,81,147,111,,128,133
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),150,190,79,,107,,137,131
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),278,191,78,167,105,,131,132
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),150,189,80,,107,,137,137
5750b9e3,2025-06-20,gcycle update (#2747),151,185,79,,104,,144,137
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),,189,79,,103,,139,131
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",152,190,80,,102,,144,131
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),147,193,78,,102,,137,130
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),147,193,78,,102,,137,130
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),148,193,79,,103,,135,135
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",241,568,80,,103,,144,137
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),241,568,80,,103,,144,137
