Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),267,344,154,244,192,200,336,240
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),300,344,153,257,192,201,240,242
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),264,341,152,236,192,198,234,235
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),263,345,155,240,192,201,233,232
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),263,345,155,240,192,201,233,232
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),264,347,153,239,195,205,236,242
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),645,345,153,237,195,199,239,232
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),496,342,153,243,193,202,237,239
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),277,337,150,241,195,200,240,241
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),257,339,153,247,195,201,239,231
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),264,354,153,245,195,211,253,239
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",266,342,149,244,196,199,243,240
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),274,340,150,240,195,200,241,238
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),257,342,151,238,197,200,236,230
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),259,346,152,242,197,202,242,239
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",259,343,152,242,195,201,233,238
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),258,349,150,237,197,544,252,229
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),261,341,153,242,194,200,233,237
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),259,454,156,236,194,554,241,231
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",294,400,152,242,197,299,242,235
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),429,346,151,241,199,204,230,234
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),429,346,151,241,199,,230,234
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),261,346,152,237,194,,235,238
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),445,339,151,300,194,,229,238
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),261,345,152,235,194,,240,230
5750b9e3,2025-06-20,gcycle update (#2747),335,343,151,245,194,,244,231
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),525,346,151,242,191,,237,239
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",267,348,150,558,192,,232,233
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),260,348,152,305,192,,245,229
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),260,348,152,305,192,,245,229
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),279,350,150,289,192,,238,226
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",299,341,155,322,194,,234,231
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),299,341,155,322,194,,234,231
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",262,343,153,301,193,,242,232
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",262,363,153,248,193,,242,232
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),345,359,152,265,190,,249,219
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),345,359,152,259,190,,249,219
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),591,368,151,252,191,,243,240
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),261,359,153,244,191,,247,218
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),261,359,152,252,191,,236,218
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),432,362,152,258,192,,249,220
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),344,354,148,285,191,,236,219
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),359,374,151,283,193,,244,221
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),262,369,150,250,192,,245,221
9b9a6304,2025-04-11,Memcheck fixes (#2655),260,357,152,262,194,,231,220
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),261,359,152,255,198,,240,219
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),262,357,151,262,193,,243,218
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",259,363,151,268,191,,239,218
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),260,362,155,254,191,,238,218
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),260,373,152,251,193,,239,218
