Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),302,394,175,213,344,153,216,211
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),300,398,176,446,344,153,216,210
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),300,398,176,446,344,153,216,210
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),298,396,175,214,345,157,216,214
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),683,394,174,214,344,151,217,204
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),548,394,174,213,343,154,215,213
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),328,394,177,213,343,153,224,215
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),298,394,175,210,345,153,218,205
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),302,407,174,215,344,154,485,482
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",296,396,173,211,346,154,491,490
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),299,399,173,215,344,283,492,486
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),296,396,175,210,348,298,487,485
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),298,397,174,211,348,341,495,482
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",295,397,173,212,347,304,492,484
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),297,443,173,213,348,299,489,490
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),301,393,174,239,346,318,496,483
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),300,504,177,216,346,327,487,485
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",330,452,174,212,347,426,487,485
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),447,400,174,208,348,1659,486,492
