Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),291,147,194,118,,109,348,341
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),291,155,198,133,,115,338,332
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),292,153,196,125,,124,351,335
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),295,148,201,122,,109,344,339
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),286,149,199,130,,108,350,333
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),375,144,199,124,,110,340,329
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),295,145,205,142,274,107,347,327
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),297,161,194,128,274,108,341,333
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),297,161,194,128,274,108,341,333
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),301,152,250,115,273,185,338,332
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),300,151,200,113,274,107,333,334
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),341,146,207,115,277,105,341,332
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),290,148,206,119,273,106,338,333
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),289,147,194,117,275,122,333,330
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),284,149,196,117,274,127,334,330
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",295,147,192,115,278,129,338,330
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),286,153,193,120,269,107,351,324
