Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),297,156,203,122,,115,350,338
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),311,156,202,119,,111,351,336
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),296,156,205,129,,109,348,338
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),297,154,197,211,285,109,337,341
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),297,154,197,211,285,109,337,341
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),290,155,238,117,276,267,327,333
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),321,151,196,120,282,110,350,342
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),380,154,203,122,274,385,340,338
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),296,155,208,120,284,109,347,348
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),304,151,199,117,277,110,345,340
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),292,152,197,118,286,113,341,337
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",303,155,196,116,282,110,340,342
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),301,153,197,129,276,109,343,341
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),294,157,196,134,,108,326,323
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),289,153,198,130,283,111,341,327
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",294,151,197,129,289,107,336,329
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),299,153,201,130,280,110,342,333
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),296,152,197,141,284,113,338,336
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),296,231,197,131,275,289,325,331
