Hash,orion,hera,gaeac6
688de8eb,,185,89
7e711129,149,208,87
d4bac232,149,208,87
118cff46,269,346,152
071b9f95,301,341,149
dc9cfba6,447,342,151
a180bbe4,,348,157
417a2cf1,262,341,152
61e54d9b,269,356,150
ce74044c,264,345,149
d820b67f,262,348,146
5e13aaf2,263,350,
e39a250c,270,350,
8b52797d,266,349,149
93d51aef,262,250,148
c5b3a3c8,265,345,
f9c10462,263,420,
0e960577,263,424,148
065def80,686,348,148
995c51d1,686,348,148
1f0ab432,264,344,150
8f8fddc8,678,344,150
24d8dfd4,264,354,149
5750b9e3,266,346,150
a9999828,,347,153
9193010a,273,349,154
43f2c3bd,263,352,151
f22b2e11,263,352,151
aebf9781,265,345,149
4cbe50f4,309,344,149
269e181a,309,344,149
68fd7faa,270,346,151
1c5a9f12,270,352,151
aba31a4e,379,350,148
b81282e5,379,350,148
5a297a6e,403,356,147
ff162f36,266,358,150
9e4778cd,265,349,151
4a566203,294,356,150
4f0111b2,276,351,150
c0d4de3c,370,355,152
7cc588ae,265,358,150
9b9a6304,266,348,150
4e75e7b4,265,350,149
69d03840,265,359,147
0d1af3e3,263,363,147
6ece76a2,265,354,149
c5f801e4,263,358,150
f7d8b0cd,264,354,148
a8c1628d,268,357,149
