Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),291,294,206,241,,214,371,342
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),306,296,203,269,,210,347,351
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),298,294,201,254,,215,352,351
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),299,296,202,258,281,215,350,342
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),299,296,202,258,281,215,350,342
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),306,290,201,247,286,214,345,344
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),344,286,202,264,281,239,347,341
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),333,296,204,253,288,252,348,337
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),292,289,204,256,282,232,351,342
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),286,300,216,293,281,238,343,334
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),293,295,203,262,281,216,338,339
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",287,299,201,268,293,210,342,346
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),296,299,202,244,283,211,345,343
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),292,293,200,245,,213,338,330
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),291,304,201,240,283,215,340,348
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",290,300,202,244,286,212,341,342
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),318,292,201,236,285,239,359,334
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),298,290,206,273,281,221,353,342
