Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),148,186,86,131,,112,184,137
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),187,183,90,133,,109,154,141
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),147,184,89,132,,108,145,141
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),150,192,86,129,112,111,150,144
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),150,192,86,129,112,111,150,144
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),380,508,214,505,280,320,341,342
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),437,502,216,347,280,286,348,336
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),682,502,214,347,277,280,355,337
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),379,505,226,351,279,299,348,339
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),376,501,215,349,280,1190,347,335
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),378,505,211,350,279,320,344,330
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",386,504,209,358,281,282,339,343
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),378,506,212,350,279,282,342,344
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),378,499,217,355,,281,329,335
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),379,516,213,355,281,285,333,342
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",381,508,212,355,282,284,335,339
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),403,352,213,352,281,285,341,327
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),380,508,217,352,279,281,341,333
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),378,604,212,368,279,282,341,337
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",377,591,211,346,278,374,334,334
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),826,501,214,346,,282,333,339
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),826,501,214,354,281,,333,339
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),380,505,209,351,277,,332,329
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),873,506,213,449,275,,329,327
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),379,509,216,350,276,,350,322
5750b9e3,2025-06-20,gcycle update (#2747),379,510,213,347,276,,334,330
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1101,514,218,352,278,,332,333
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",380,508,220,1239,,,338,328
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),378,,,445,,,,
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),378,506,214,445,276,,334,330
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),378,506,214,451,275,,339,327
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",432,505,214,472,278,,341,332
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),432,505,214,472,278,,341,332
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",,514,,418,,,,
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",387,516,216,366,276,,356,323
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),519,517,212,419,288,,340,316
