Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1028,492,671,420,,339,1160,1102
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1073,504,676,405,,339,1128,1111
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1115,498,661,401,,332,1118,1087
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1008,502,662,410,954,336,1113,1096
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1008,502,662,410,954,336,1113,1096
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1055,502,684,415,941,1494,1109,1096
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1154,508,671,560,948,1397,1108,1118
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1211,498,663,448,936,344,1118,1106
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1012,497,666,465,969,327,1123,1100
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1024,509,669,510,957,1520,1126,1086
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1135,522,674,391,955,362,1113,1099
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1039,502,680,456,952,350,1123,1088
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1039,508,680,397,940,341,1124,1096
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1005,499,670,397,,333,1099,1091
