Hash,orion,hera,gaeac6
688de8eb,,172,109
7e711129,204,176,109
d4bac232,204,176,109
118cff46,242,171,118
071b9f95,267,175,115
dc9cfba6,479,170,110
a180bbe4,,173,112
417a2cf1,204,175,109
61e54d9b,254,172,108
ce74044c,207,177,106
d820b67f,202,186,106
5e13aaf2,202,173,
e39a250c,203,174,
8b52797d,203,178,108
93d51aef,204,188,108
c5b3a3c8,213,173,
f9c10462,204,260,
0e960577,203,302,112
065def80,454,172,108
995c51d1,454,172,108
1f0ab432,215,175,107
8f8fddc8,515,171,108
24d8dfd4,206,195,107
5750b9e3,222,174,109
a9999828,,188,108
9193010a,244,176,107
43f2c3bd,209,180,107
f22b2e11,209,180,107
aebf9781,212,180,107
4cbe50f4,291,176,108
269e181a,291,176,108
68fd7faa,213,183,113
1c5a9f12,213,176,113
aba31a4e,272,181,108
b81282e5,272,181,108
5a297a6e,462,185,108
ff162f36,215,187,107
9e4778cd,215,184,111
4a566203,272,192,108
4f0111b2,216,193,107
c0d4de3c,217,182,108
7cc588ae,215,181,108
9b9a6304,217,174,116
4e75e7b4,211,180,108
69d03840,218,179,109
0d1af3e3,216,174,109
6ece76a2,213,196,120
c5f801e4,210,182,110
f7d8b0cd,213,179,109
a8c1628d,215,181,111
