Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),587,565,357,582,472,386,663,566
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),667,562,356,499,472,389,578,571
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),582,563,352,503,472,391,595,566
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),582,574,355,488,472,388,573,570
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),582,574,355,488,472,388,573,570
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),590,561,354,480,475,388,566,570
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1153,568,357,513,479,391,579,571
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1001,560,357,496,470,396,574,568
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),590,579,361,485,474,396,579,568
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),587,558,355,498,478,390,593,564
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),587,564,357,485,474,388,579,569
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",588,564,360,497,485,414,575,568
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),600,566,353,486,479,398,570,574
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),602,578,356,481,481,389,570,571
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),582,576,358,480,481,389,571,581
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",582,576,354,503,482,386,572,563
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),593,589,360,490,481,403,590,572
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),581,576,363,486,479,388,575,574
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),598,700,364,485,480,390,586,566
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",582,692,356,480,480,430,568,572
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1103,587,355,480,484,382,573,571
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1103,587,355,482,484,,573,571
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),583,569,357,937,475,,566,562
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1207,566,358,491,474,,565,565
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),603,572,365,502,475,,570,562
5750b9e3,2025-06-20,gcycle update (#2747),627,567,357,498,479,,574,564
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1378,574,356,486,475,,564,557
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",591,587,360,1051,478,,569,574
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),593,577,357,490,478,,575,566
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),593,577,357,490,478,,575,566
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),583,574,357,488,474,,572,559
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",701,581,358,498,478,,565,565
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),701,581,358,498,478,,565,565
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",590,675,356,546,478,,579,561
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",590,585,356,489,478,,579,561
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),732,580,359,496,477,,586,553
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),732,580,359,492,477,,586,553
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),991,583,355,497,471,,569,566
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),585,583,358,510,475,,582,551
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),592,602,363,491,482,,572,558
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),747,604,366,492,481,,581,556
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),697,591,363,504,480,,579,553
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),632,584,364,506,486,,574,554
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),598,580,365,517,484,,577,563
9b9a6304,2025-04-11,Memcheck fixes (#2655),595,578,365,504,482,,582,561
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),595,583,363,496,486,,581,562
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),604,592,367,506,484,,580,559
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",590,583,367,709,484,,574,553
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),590,608,369,565,484,,579,552
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),590,590,368,575,483,,577,553
