Hash,orion,hera,gaeac6
688de8eb,,218,144
7e711129,239,225,144
d4bac232,239,225,144
118cff46,245,222,143
071b9f95,632,218,149
dc9cfba6,631,221,145
a180bbe4,,223,149
417a2cf1,233,221,146
61e54d9b,282,219,143
ce74044c,300,221,142
d820b67f,268,220,141
5e13aaf2,238,220,
e39a250c,236,223,
8b52797d,235,218,144
93d51aef,235,226,141
c5b3a3c8,312,221,
f9c10462,277,376,
0e960577,299,328,143
065def80,400,228,141
995c51d1,400,228,141
1f0ab432,244,297,145
8f8fddc8,750,223,155
24d8dfd4,274,223,142
5750b9e3,242,220,143
a9999828,,221,144
9193010a,264,238,145
43f2c3bd,244,223,149
f22b2e11,244,223,149
aebf9781,533,225,143
4cbe50f4,490,225,144
269e181a,490,225,144
68fd7faa,263,235,149
1c5a9f12,263,230,149
aba31a4e,477,224,142
b81282e5,477,224,142
5a297a6e,362,229,143
ff162f36,251,223,145
9e4778cd,251,259,143
4a566203,242,234,144
4f0111b2,317,227,145
c0d4de3c,249,225,143
7cc588ae,243,230,142
9b9a6304,243,219,142
4e75e7b4,244,248,142
69d03840,244,223,143
0d1af3e3,247,220,143
6ece76a2,246,224,145
c5f801e4,242,226,144
f7d8b0cd,246,227,153
a8c1628d,254,232,146
