Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),320,296,276,546,251,196,340,308
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),365,301,189,267,251,1156,316,309
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),365,301,189,267,251,1156,316,309
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),357,297,219,254,256,201,328,316
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1087,291,195,269,253,1096,333,305
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),549,291,189,297,261,461,318,307
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),319,287,186,251,250,202,317,309
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),314,294,223,261,251,196,313,299
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),316,289,186,318,249,203,310,308
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",316,289,189,333,252,196,309,300
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),337,289,183,244,251,194,319,296
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),313,288,194,244,251,1151,320,304
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),314,299,186,254,251,957,310,299
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",317,289,186,249,254,965,315,294
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),315,317,184,248,253,969,315,307
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),317,287,186,249,252,193,328,300
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),379,456,185,311,249,193,310,297
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",316,395,187,272,250,306,310,304
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),404,291,185,282,255,194,301,316
