Hash,orion,hera,gaeac6
688de8eb,,297,208
7e711129,366,300,190
d4bac232,366,300,190
118cff46,352,305,206
071b9f95,1114,302,197
dc9cfba6,595,296,221
a180bbe4,,295,194
417a2cf1,325,291,227
61e54d9b,327,298,188
ce74044c,321,296,187
d820b67f,321,297,188
5e13aaf2,319,293,
e39a250c,320,296,
8b52797d,325,293,189
93d51aef,316,333,189
c5b3a3c8,325,302,
f9c10462,403,417,
0e960577,317,384,187
065def80,397,290,187
995c51d1,397,290,187
1f0ab432,330,321,194
8f8fddc8,569,321,195
24d8dfd4,324,305,193
5750b9e3,326,299,193
a9999828,,302,192
9193010a,334,303,194
43f2c3bd,327,303,193
f22b2e11,327,303,193
aebf9781,465,304,193
4cbe50f4,407,314,194
269e181a,407,314,194
68fd7faa,329,320,192
1c5a9f12,329,305,192
aba31a4e,444,310,193
b81282e5,444,310,193
5a297a6e,437,305,198
ff162f36,326,332,195
9e4778cd,329,308,201
4a566203,323,320,195
4f0111b2,373,302,195
c0d4de3c,326,305,198
7cc588ae,330,308,205
9b9a6304,327,301,195
4e75e7b4,326,302,196
69d03840,416,302,195
0d1af3e3,324,301,195
6ece76a2,325,336,206
c5f801e4,324,336,194
f7d8b0cd,326,310,196
a8c1628d,328,306,194
