Hash,orion,hera,gaeac6
688de8eb,,983,660
7e711129,972,985,657
d4bac232,972,985,657
118cff46,977,1006,660
071b9f95,1790,1009,658
dc9cfba6,1659,987,653
a180bbe4,,977,656
417a2cf1,979,973,658
61e54d9b,971,973,656
ce74044c,979,979,654
d820b67f,977,1053,654
5e13aaf2,981,978,
e39a250c,974,982,
8b52797d,980,978,654
93d51aef,980,1001,654
c5b3a3c8,979,989,
f9c10462,985,1084,
0e960577,993,1034,653
065def80,1115,990,657
995c51d1,1115,990,657
1f0ab432,983,978,658
8f8fddc8,1720,994,657
24d8dfd4,982,971,657
5750b9e3,988,983,652
a9999828,,979,652
9193010a,997,999,657
43f2c3bd,979,996,655
f22b2e11,979,996,655
aebf9781,1799,1013,656
4cbe50f4,1325,990,657
269e181a,1325,990,657
68fd7faa,986,982,654
1c5a9f12,986,984,654
aba31a4e,1269,993,656
b81282e5,1269,993,656
5a297a6e,1038,998,658
ff162f36,994,962,656
9e4778cd,1008,1006,657
4a566203,987,1000,659
4f0111b2,1060,986,657
c0d4de3c,986,980,654
7cc588ae,990,987,653
9b9a6304,989,987,656
4e75e7b4,985,987,657
69d03840,1123,997,657
0d1af3e3,981,988,657
6ece76a2,982,993,653
c5f801e4,983,968,657
f7d8b0cd,979,998,658
a8c1628d,980,1014,659
