Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),435,391,262,415,,266,418,379
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),438,387,265,429,,281,409,373
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),434,393,267,410,,267,529,381
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),553,396,267,451,,268,409,379
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),436,395,263,330,338,266,426,372
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),437,386,264,677,338,266,405,373
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),437,386,264,677,338,266,405,373
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),434,392,268,336,337,266,410,378
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),532,392,266,401,339,274,456,380
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),800,389,263,572,338,268,424,384
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),442,397,273,385,339,268,407,385
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),441,396,264,340,343,267,411,371
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),441,409,262,361,339,271,401,381
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",438,396,264,334,363,267,407,376
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),440,397,262,336,340,268,406,385
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),438,398,265,335,,267,413,370
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),436,423,265,338,345,271,431,382
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",438,400,265,339,345,273,406,377
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),446,397,265,343,346,275,425,382
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),442,404,271,349,344,268,412,380
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),441,500,264,337,343,273,401,386
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",449,482,262,337,342,341,407,379
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),499,401,266,335,346,267,398,378
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),499,401,266,335,346,,398,378
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),443,393,270,340,339,,410,407
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1088,394,260,338,339,,417,411
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),434,388,258,365,336,,408,402
5750b9e3,2025-06-20,gcycle update (#2747),445,390,257,358,334,,400,406
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1644,388,255,410,335,,403,399
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",446,398,258,1380,,,394,409
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),435,388,257,362,334,,393,407
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),435,388,257,362,334,,393,407
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1184,391,257,363,332,,408,407
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",799,395,257,411,334,,420,409
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),799,395,257,411,334,,420,409
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",442,412,256,351,335,,412,396
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",442,395,256,413,335,,412,396
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),723,392,259,416,331,,407,381
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),723,392,259,404,331,,407,381
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),474,413,260,414,331,,405,411
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),431,386,255,331,333,,418,383
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),436,394,258,333,334,,405,384
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),436,402,257,331,335,,415,386
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),441,397,257,405,334,,403,387
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),436,404,256,353,337,,401,385
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),439,402,262,434,338,,416,388
9b9a6304,2025-04-11,Memcheck fixes (#2655),439,385,254,404,334,,407,386
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),436,390,256,331,331,,402,382
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),438,426,259,332,334,,419,387
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",437,396,259,334,334,,401,383
