Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),435,398,263,366,,267,406,379
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),433,399,267,358,,273,406,381
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),431,399,265,440,,268,418,384
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),438,395,268,437,,268,407,381
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),432,393,267,424,,268,544,380
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),530,397,266,434,,284,417,376
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),433,399,263,340,337,269,415,380
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),439,405,268,595,337,267,412,378
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),439,405,268,595,337,267,412,378
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),888,398,268,349,340,271,425,376
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),547,404,266,391,340,271,431,377
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),960,404,266,343,341,274,434,381
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),443,402,273,371,342,269,423,382
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),441,394,266,342,344,276,423,383
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),444,403,266,355,339,270,420,383
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",445,395,265,340,342,272,414,385
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),440,406,267,395,342,290,413,377
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),441,396,268,341,,271,412,383
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),440,410,264,341,348,273,433,380
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",442,395,1296,345,346,271,424,377
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),440,397,267,345,349,273,423,383
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),440,400,271,345,345,277,423,381
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),442,497,268,339,345,274,400,379
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",450,498,265,344,344,386,405,384
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),554,400,266,336,348,271,397,380
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),554,400,266,337,348,,397,380
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),450,392,261,339,341,,415,411
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1061,396,261,501,340,,422,413
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),437,395,261,373,339,,401,401
5750b9e3,2025-06-20,gcycle update (#2747),436,391,258,368,337,,399,414
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),599,389,259,428,338,,406,399
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",448,403,258,982,,,402,400
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),435,396,258,374,336,,410,401
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),435,396,258,374,336,,410,401
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1069,397,258,711,335,,408,407
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",673,402,258,414,335,,420,410
