Hash,orion,hera,gaeac6
688de8eb,,629,204
7e711129,672,641,207
d4bac232,672,641,207
118cff46,664,641,208
071b9f95,765,640,223
dc9cfba6,958,637,222
a180bbe4,,644,228
417a2cf1,654,640,220
61e54d9b,662,652,218
ce74044c,653,617,215
d820b67f,654,625,219
5e13aaf2,657,625,
e39a250c,652,631,
8b52797d,651,620,222
93d51aef,655,631,221
c5b3a3c8,661,629,
f9c10462,654,715,
0e960577,658,700,218
065def80,706,640,222
995c51d1,706,640,222
1f0ab432,650,487,215
8f8fddc8,1055,483,223
24d8dfd4,650,488,219
5750b9e3,661,484,222
a9999828,,486,219
9193010a,689,495,219
43f2c3bd,701,489,218
f22b2e11,701,489,218
aebf9781,1153,492,219
4cbe50f4,816,502,216
269e181a,816,502,216
68fd7faa,665,520,218
1c5a9f12,665,505,218
aba31a4e,835,502,221
b81282e5,835,502,221
5a297a6e,672,507,220
ff162f36,675,490,221
9e4778cd,675,495,219
4a566203,677,501,219
4f0111b2,677,492,226
c0d4de3c,680,492,226
7cc588ae,683,504,226
9b9a6304,669,484,226
4e75e7b4,670,490,226
69d03840,674,506,226
0d1af3e3,673,486,226
6ece76a2,678,513,224
c5f801e4,666,501,222
f7d8b0cd,667,504,232
a8c1628d,670,511,229
