Hash,orion,hera,gaeac6
688de8eb,,242,158
7e711129,261,250,159
d4bac232,261,250,159
118cff46,278,246,162
071b9f95,269,242,163
dc9cfba6,377,243,161
a180bbe4,,239,160
417a2cf1,255,243,160
61e54d9b,260,247,159
ce74044c,256,243,159
d820b67f,262,250,158
5e13aaf2,256,241,
e39a250c,259,259,
8b52797d,257,244,158
93d51aef,256,255,158
c5b3a3c8,258,264,
f9c10462,261,367,
0e960577,261,323,159
065def80,312,254,157
995c51d1,312,254,157
1f0ab432,258,246,154
8f8fddc8,501,241,159
24d8dfd4,262,241,154
5750b9e3,266,243,155
a9999828,,243,155
9193010a,264,246,154
43f2c3bd,261,247,156
f22b2e11,261,247,156
aebf9781,412,249,154
4cbe50f4,409,251,154
269e181a,409,251,154
68fd7faa,256,326,155
1c5a9f12,256,244,155
aba31a4e,281,252,155
b81282e5,281,252,155
5a297a6e,257,247,153
ff162f36,257,249,165
9e4778cd,261,253,165
4a566203,254,248,166
4f0111b2,257,245,166
c0d4de3c,258,248,165
7cc588ae,260,255,163
9b9a6304,255,242,165
4e75e7b4,254,284,165
69d03840,257,248,165
0d1af3e3,257,245,165
6ece76a2,255,256,165
c5f801e4,254,246,165
f7d8b0cd,255,250,179
a8c1628d,259,264,175
