Hash,orion,hera,gaeac6
688de8eb,,304,227
7e711129,429,302,228
d4bac232,429,302,228
118cff46,356,304,244
071b9f95,376,306,231
dc9cfba6,612,307,229
a180bbe4,,307,232
417a2cf1,353,308,227
61e54d9b,347,311,229
ce74044c,373,310,226
d820b67f,377,310,226
5e13aaf2,353,311,
e39a250c,355,312,
8b52797d,356,312,228
93d51aef,352,306,226
c5b3a3c8,353,314,
f9c10462,366,438,
0e960577,617,435,227
065def80,561,315,231
995c51d1,561,315,231
1f0ab432,331,285,211
8f8fddc8,714,287,213
24d8dfd4,336,292,211
5750b9e3,364,294,212
a9999828,,294,216
9193010a,337,669,212
43f2c3bd,332,300,214
f22b2e11,332,300,214
aebf9781,351,310,214
4cbe50f4,582,294,212
269e181a,582,294,212
68fd7faa,336,298,212
1c5a9f12,336,292,212
aba31a4e,447,295,212
b81282e5,447,295,212
5a297a6e,401,295,217
ff162f36,330,297,212
9e4778cd,343,296,212
4a566203,338,299,212
4f0111b2,340,297,212
c0d4de3c,338,293,213
7cc588ae,339,299,211
9b9a6304,337,297,211
4e75e7b4,336,325,211
69d03840,330,301,211
0d1af3e3,334,294,211
6ece76a2,333,295,212
c5f801e4,341,300,213
f7d8b0cd,338,294,211
a8c1628d,351,302,212
