Hash,orion,hera,gaeac6
688de8eb,,414,285
7e711129,434,410,283
d4bac232,434,410,283
118cff46,427,412,297
071b9f95,476,417,284
dc9cfba6,857,416,286
a180bbe4,,418,296
417a2cf1,428,422,287
61e54d9b,431,429,284
ce74044c,439,417,283
d820b67f,433,414,282
5e13aaf2,427,424,
e39a250c,430,415,
8b52797d,430,427,283
93d51aef,434,415,284
c5b3a3c8,434,419,
f9c10462,433,553,
0e960577,433,530,285
065def80,572,434,286
995c51d1,572,434,286
1f0ab432,433,421,282
8f8fddc8,990,419,284
24d8dfd4,446,405,283
5750b9e3,527,419,283
a9999828,,415,286
9193010a,442,439,283
43f2c3bd,432,421,284
f22b2e11,432,421,284
aebf9781,474,430,283
4cbe50f4,765,418,282
269e181a,765,418,282
68fd7faa,585,416,284
1c5a9f12,585,432,284
aba31a4e,594,417,283
b81282e5,594,417,283
5a297a6e,521,422,288
ff162f36,433,426,283
9e4778cd,437,425,284
4a566203,437,430,285
4f0111b2,437,417,283
c0d4de3c,437,421,285
7cc588ae,437,430,282
9b9a6304,436,418,282
4e75e7b4,435,432,280
69d03840,457,441,283
0d1af3e3,433,421,283
6ece76a2,433,423,284
c5f801e4,435,426,284
f7d8b0cd,430,422,285
a8c1628d,448,418,282
