Hash,orion,hera,gaeac6
688de8eb,,,489
7e711129,2069,,490
d4bac232,2069,,490
118cff46,2173,,498
071b9f95,2354,,494
dc9cfba6,2190,,510
a180bbe4,,,500
417a2cf1,2055,,494
61e54d9b,2050,,492
ce74044c,2028,,490
d820b67f,2050,,488
5e13aaf2,2073,,
e39a250c,2084,,
8b52797d,2079,,485
93d51aef,2097,,486
c5b3a3c8,2070,,
f9c10462,2027,,
0e960577,2062,,490
065def80,2077,,499
995c51d1,2077,,499
1f0ab432,2034,1125,492
8f8fddc8,2221,1106,487
24d8dfd4,2047,1086,493
5750b9e3,2099,1104,490
a9999828,,1105,494
9193010a,2086,1110,492
43f2c3bd,2077,1103,493
f22b2e11,2077,1103,493
aebf9781,2233,1117,494
4cbe50f4,2128,1145,493
269e181a,2128,1145,493
68fd7faa,2030,1154,493
1c5a9f12,2030,1154,493
aba31a4e,2087,1144,489
b81282e5,2087,1144,489
5a297a6e,2178,1153,494
ff162f36,2095,1102,502
9e4778cd,2090,1101,490
4a566203,2036,1119,497
4f0111b2,2127,1110,491
c0d4de3c,2067,1141,513
7cc588ae,2094,1121,517
9b9a6304,2035,1106,510
4e75e7b4,2074,1103,509
69d03840,2087,1108,505
0d1af3e3,2089,1107,505
6ece76a2,2089,1148,516
c5f801e4,2090,1158,498
f7d8b0cd,2040,1156,501
a8c1628d,2081,1149,484
