Hash,orion,hera,gaeac6
688de8eb,,206,140
7e711129,262,215,140
d4bac232,262,215,140
118cff46,265,215,143
071b9f95,278,209,657
dc9cfba6,478,209,142
a180bbe4,,210,148
417a2cf1,256,208,144
61e54d9b,260,209,139
ce74044c,259,207,139
d820b67f,257,220,138
5e13aaf2,257,208,
e39a250c,258,215,
8b52797d,256,205,139
93d51aef,258,215,139
c5b3a3c8,264,216,
f9c10462,278,348,
0e960577,290,295,138
065def80,336,219,146
995c51d1,336,219,146
1f0ab432,258,210,138
8f8fddc8,641,207,141
24d8dfd4,256,207,138
5750b9e3,284,215,138
a9999828,,226,136
9193010a,260,209,137
43f2c3bd,259,215,139
f22b2e11,259,215,139
aebf9781,734,210,138
4cbe50f4,334,212,138
269e181a,334,212,138
68fd7faa,257,225,138
1c5a9f12,257,209,138
aba31a4e,297,212,138
b81282e5,297,212,138
5a297a6e,543,222,137
ff162f36,259,211,137
9e4778cd,261,213,137
4a566203,256,223,137
4f0111b2,261,215,139
c0d4de3c,259,212,138
7cc588ae,260,214,137
9b9a6304,257,208,136
4e75e7b4,256,208,137
69d03840,260,212,138
0d1af3e3,256,205,138
6ece76a2,257,213,137
c5f801e4,257,218,137
f7d8b0cd,257,213,149
a8c1628d,270,237,142
