Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),899,913,281,1053,,1547,466,437
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),910,899,283,1041,,1612,444,441
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),910,897,280,1109,,1593,451,439
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),906,897,286,1036,,1792,455,434
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),905,901,284,1048,,1636,571,437
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1025,918,286,1073,,1686,456,434
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),917,914,283,1096,372,1648,458,431
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),912,905,282,1083,372,1586,443,432
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),912,905,282,1083,372,1586,443,432
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),909,911,279,1051,375,1605,452,430
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1109,904,291,1071,399,1567,488,467
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1351,897,298,1047,403,1660,486,465
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),898,917,296,1031,401,1608,491,470
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),909,915,293,1075,402,1595,493,465
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),902,914,296,1044,403,1636,480,466
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",888,870,301,1050,402,1652,478,458
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),891,879,298,987,399,1671,477,462
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),882,879,298,1047,,1615,476,459
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),877,879,300,1053,405,1617,489,465
