Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),913,900,285,1041,,1658,466,442
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),907,902,287,1068,,1606,453,441
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),915,913,286,1070,,1596,468,440
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),902,909,287,1103,,1716,451,448
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),913,908,288,1057,,1635,586,443
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1018,898,287,1079,,1645,467,448
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),913,909,286,1071,370,1598,485,434
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),916,913,284,1098,370,1628,456,435
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),916,913,284,1098,370,1628,456,435
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),912,908,291,1078,376,1572,458,447
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1237,906,302,1051,403,1711,502,483
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1376,896,306,1101,401,1597,515,479
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),907,921,304,1078,401,1592,493,470
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),898,909,298,1069,404,1624,498,469
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),901,920,300,1040,404,1646,487,470
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",899,867,303,1100,401,1664,491,608
