Hash,orion,hera,gaeac6
688de8eb,,407,270
7e711129,502,401,267
d4bac232,502,401,267
118cff46,503,403,277
071b9f95,555,407,268
dc9cfba6,1085,408,272
a180bbe4,,407,273
417a2cf1,498,406,266
61e54d9b,498,408,267
ce74044c,500,412,268
d820b67f,498,411,265
5e13aaf2,496,410,
e39a250c,500,411,
8b52797d,495,410,266
93d51aef,500,415,267
c5b3a3c8,497,403,
f9c10462,497,519,
0e960577,504,494,266
065def80,640,417,266
995c51d1,640,417,266
1f0ab432,498,401,259
8f8fddc8,1537,398,261
24d8dfd4,490,402,260
5750b9e3,540,401,255
a9999828,,396,259
9193010a,505,400,260
43f2c3bd,493,405,259
f22b2e11,493,405,259
aebf9781,536,399,257
4cbe50f4,837,396,258
269e181a,837,396,258
68fd7faa,493,405,259
1c5a9f12,493,401,259
aba31a4e,816,409,258
b81282e5,816,409,258
5a297a6e,493,419,258
ff162f36,499,400,259
9e4778cd,494,419,260
4a566203,491,425,259
4f0111b2,497,414,257
c0d4de3c,489,409,258
7cc588ae,495,402,255
9b9a6304,491,399,255
4e75e7b4,489,399,257
69d03840,493,406,260
0d1af3e3,491,397,260
6ece76a2,495,432,257
c5f801e4,495,415,257
f7d8b0cd,502,405,257
a8c1628d,509,409,263
