Hash,orion,hera,gaeac6
688de8eb,,53,61
7e711129,88,64,60
d4bac232,88,64,60
118cff46,80,55,97
071b9f95,200,54,58
dc9cfba6,415,52,61
a180bbe4,,55,57
417a2cf1,74,57,58
61e54d9b,77,55,57
ce74044c,79,57,57
d820b67f,72,56,55
5e13aaf2,76,53,
e39a250c,83,57,
8b52797d,72,54,55
93d51aef,77,58,56
c5b3a3c8,77,55,
f9c10462,85,156,
0e960577,78,144,58
065def80,102,69,66
995c51d1,102,69,66
1f0ab432,79,51,67
8f8fddc8,700,50,68
24d8dfd4,87,50,69
5750b9e3,69,51,68
a9999828,,51,65
9193010a,81,53,69
43f2c3bd,70,58,69
f22b2e11,70,58,69
aebf9781,561,54,67
4cbe50f4,263,52,67
269e181a,263,52,67
68fd7faa,71,59,66
1c5a9f12,71,66,66
aba31a4e,325,57,67
b81282e5,325,57,67
5a297a6e,115,59,65
ff162f36,73,54,67
9e4778cd,75,59,65
4a566203,69,55,67
4f0111b2,76,86,67
c0d4de3c,66,46,56
7cc588ae,66,46,59
9b9a6304,65,48,59
4e75e7b4,65,64,58
69d03840,65,57,60
0d1af3e3,70,47,60
6ece76a2,65,50,58
c5f801e4,65,49,57
f7d8b0cd,65,55,60
a8c1628d,67,55,57
