Hash,orion,hera,gaeac6
688de8eb,,181,128
7e711129,328,181,122
d4bac232,328,181,122
118cff46,210,181,141
071b9f95,230,180,126
dc9cfba6,289,189,125
a180bbe4,,183,123
417a2cf1,209,177,123
61e54d9b,209,183,123
ce74044c,211,182,123
d820b67f,213,184,118
5e13aaf2,211,182,
e39a250c,179,173,
8b52797d,176,164,103
93d51aef,179,193,105
c5b3a3c8,177,170,
f9c10462,181,267,
0e960577,184,243,103
065def80,193,167,103
995c51d1,193,167,103
1f0ab432,176,159,102
8f8fddc8,297,162,104
24d8dfd4,181,167,103
5750b9e3,180,172,103
a9999828,,169,105
9193010a,183,172,103
43f2c3bd,181,172,102
f22b2e11,181,172,102
aebf9781,239,193,102
4cbe50f4,220,169,103
269e181a,220,169,103
68fd7faa,182,171,102
1c5a9f12,182,171,102
aba31a4e,243,167,103
b81282e5,243,167,103
5a297a6e,224,176,103
ff162f36,179,169,103
9e4778cd,181,172,103
4a566203,180,169,103
4f0111b2,181,169,104
c0d4de3c,183,167,103
7cc588ae,180,171,104
9b9a6304,181,172,102
4e75e7b4,180,194,103
69d03840,180,188,103
0d1af3e3,182,169,103
6ece76a2,180,167,103
c5f801e4,181,173,103
f7d8b0cd,181,167,103
a8c1628d,181,174,102
