Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),207,184,123,144,,112,,188
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),248,199,123,148,,120,,202
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),212,180,123,148,,122,,191
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),209,181,122,153,171,115,,183
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),209,181,122,153,171,115,,183
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),217,180,131,146,174,115,,192
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),303,183,122,148,172,112,,198
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),331,186,123,144,172,122,,194
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),206,180,123,146,173,120,,202
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),205,177,123,151,173,701,,191
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),210,183,123,144,172,126,,203
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",206,178,123,144,172,289,,194
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),211,184,117,144,166,113,,180
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),207,180,118,145,,119,,180
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),176,164,102,128,152,101,,166
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",176,163,103,127,152,696,,165
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),176,168,105,130,152,106,,164
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),178,166,104,128,150,110,,164
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),182,260,104,126,149,108,,168
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",176,242,105,127,153,182,,158
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),188,164,104,129,,108,,171
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),188,164,104,176,150,,,171
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),181,161,102,126,149,,,167
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),333,163,102,132,149,,,168
