Hash,orion,hera,gaeac6
688de8eb,,292,230
7e711129,462,293,227
d4bac232,462,293,227
118cff46,358,290,233
071b9f95,431,298,231
dc9cfba6,540,287,230
a180bbe4,,301,232
417a2cf1,354,295,235
61e54d9b,354,305,227
ce74044c,357,297,227
d820b67f,354,307,222
5e13aaf2,354,301,
e39a250c,261,235,
8b52797d,263,236,168
93d51aef,263,242,166
c5b3a3c8,266,230,
f9c10462,272,339,
0e960577,263,314,166
065def80,278,237,166
995c51d1,278,237,166
1f0ab432,261,233,165
8f8fddc8,432,234,166
24d8dfd4,263,239,165
5750b9e3,263,243,166
a9999828,,233,164
9193010a,273,314,165
43f2c3bd,261,241,165
f22b2e11,261,241,165
aebf9781,351,249,166
4cbe50f4,397,244,167
269e181a,397,244,167
68fd7faa,263,239,165
1c5a9f12,263,245,165
aba31a4e,314,238,165
b81282e5,314,238,165
5a297a6e,279,243,165
ff162f36,264,239,166
9e4778cd,265,242,167
4a566203,266,243,166
4f0111b2,263,241,167
c0d4de3c,264,243,166
7cc588ae,266,244,165
9b9a6304,262,244,165
4e75e7b4,263,242,166
69d03840,264,248,165
0d1af3e3,276,237,165
6ece76a2,264,235,167
c5f801e4,263,239,166
f7d8b0cd,265,245,166
a8c1628d,263,241,165
