Hash,orion,hera,gaeac6
688de8eb,,170,112
7e711129,190,176,113
d4bac232,190,176,113
118cff46,190,170,113
071b9f95,216,172,112
dc9cfba6,293,179,113
a180bbe4,,174,113
417a2cf1,191,172,112
61e54d9b,192,172,113
ce74044c,192,172,112
d820b67f,191,170,108
5e13aaf2,191,174,
e39a250c,171,173,
8b52797d,172,171,99
93d51aef,172,164,100
c5b3a3c8,170,160,
f9c10462,190,259,
0e960577,187,244,98
065def80,185,162,98
995c51d1,185,162,98
1f0ab432,171,164,98
8f8fddc8,290,161,99
24d8dfd4,176,171,98
5750b9e3,179,167,98
a9999828,,163,98
9193010a,184,163,99
43f2c3bd,175,164,100
f22b2e11,175,164,100
aebf9781,258,167,98
4cbe50f4,72,165,100
269e181a,72,165,100
68fd7faa,177,166,98
1c5a9f12,177,174,98
aba31a4e,177,169,99
b81282e5,177,169,99
5a297a6e,179,169,99
ff162f36,173,165,98
9e4778cd,177,164,99
4a566203,175,167,98
4f0111b2,176,165,102
c0d4de3c,176,168,98
7cc588ae,177,169,98
9b9a6304,177,165,99
4e75e7b4,177,164,98
69d03840,176,203,98
0d1af3e3,176,168,98
6ece76a2,176,170,98
c5f801e4,177,164,97
f7d8b0cd,177,169,103
a8c1628d,176,171,98
