Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),208,180,123,145,172,118,,193
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),234,179,124,146,172,107,,189
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),208,179,128,143,172,116,,191
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),207,193,123,144,172,315,,187
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),207,193,123,144,172,315,,187
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),209,179,142,143,173,149,,194
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),237,183,124,145,173,112,,193
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),316,180,123,144,172,977,,193
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),207,195,124,284,172,126,,193
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),207,181,123,148,177,114,,193
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),208,191,123,144,174,122,,194
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",210,180,123,143,171,139,,193
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),208,184,117,143,166,120,,195
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),208,186,120,147,150,120,,196
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),176,166,104,126,150,107,,173
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",175,165,104,129,152,115,,163
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),178,160,104,129,151,107,,166
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),176,164,106,127,151,96,,173
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),178,254,104,127,149,100,,178
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",176,244,104,128,149,180,,164
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),197,167,103,126,150,114,,163
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),197,167,103,175,150,,,163
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),175,167,103,134,149,,,166
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),329,164,104,127,148,,,161
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),182,171,103,129,149,,,161
5750b9e3,2025-06-20,gcycle update (#2747),179,165,103,129,155,,,167
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),711,170,103,328,149,,,162
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",183,173,103,640,149,,,163
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),178,169,103,135,149,,,163
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),178,169,103,135,149,,,163
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),246,170,103,142,149,,,164
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",203,166,104,130,150,,,169
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),203,166,104,130,150,,,169
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",181,181,102,133,149,,,167
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",181,171,102,130,149,,,167
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),237,171,103,135,148,,,151
