Hash,orion,hera,gaeac6
688de8eb,,422,281
7e711129,435,429,277
d4bac232,435,429,277
118cff46,435,414,279
071b9f95,673,419,288
dc9cfba6,586,419,278
a180bbe4,,465,278
417a2cf1,434,408,278
61e54d9b,437,424,276
ce74044c,435,431,282
d820b67f,431,411,262
5e13aaf2,431,416,
e39a250c,381,372,
8b52797d,380,360,246
93d51aef,381,358,248
c5b3a3c8,384,380,
f9c10462,386,477,
0e960577,381,439,243
065def80,435,395,247
995c51d1,435,395,247
1f0ab432,386,374,237
8f8fddc8,663,381,247
24d8dfd4,391,385,247
5750b9e3,389,388,244
a9999828,,393,247
9193010a,405,417,241
43f2c3bd,386,390,244
f22b2e11,386,390,244
aebf9781,637,384,242
4cbe50f4,443,385,237
269e181a,443,385,237
68fd7faa,391,393,250
1c5a9f12,391,390,250
aba31a4e,441,396,248
b81282e5,441,396,248
5a297a6e,452,398,243
ff162f36,386,391,246
9e4778cd,390,402,250
4a566203,386,405,247
4f0111b2,389,400,252
c0d4de3c,389,392,247
7cc588ae,397,402,247
9b9a6304,388,392,250
4e75e7b4,391,390,243
69d03840,393,439,246
0d1af3e3,385,383,246
6ece76a2,388,393,246
c5f801e4,388,392,249
f7d8b0cd,392,383,248
a8c1628d,389,410,247
