Hash,orion,hera,gaeac6
688de8eb,,594,268
7e711129,404,591,267
d4bac232,404,591,267
118cff46,967,593,265
071b9f95,417,587,266
dc9cfba6,1564,583,271
a180bbe4,,597,269
417a2cf1,392,591,274
61e54d9b,443,601,277
ce74044c,454,583,265
d820b67f,397,589,265
5e13aaf2,398,589,
e39a250c,397,586,
8b52797d,393,585,269
93d51aef,474,588,264
c5b3a3c8,476,580,
f9c10462,492,670,
0e960577,416,672,266
065def80,404,583,267
995c51d1,404,583,267
1f0ab432,412,659,268
8f8fddc8,584,588,280
24d8dfd4,480,593,268
5750b9e3,540,591,268
a9999828,,593,266
9193010a,445,599,267
43f2c3bd,416,589,270
f22b2e11,416,589,270
aebf9781,406,596,268
4cbe50f4,437,595,268
269e181a,437,595,268
68fd7faa,601,598,293
1c5a9f12,601,688,293
aba31a4e,959,693,267
b81282e5,959,693,267
5a297a6e,744,684,269
ff162f36,410,696,268
9e4778cd,442,690,266
4a566203,568,695,266
4f0111b2,410,692,267
c0d4de3c,412,678,268
7cc588ae,406,695,273
9b9a6304,405,667,267
4e75e7b4,404,806,264
69d03840,401,690,268
0d1af3e3,410,699,268
6ece76a2,605,680,267
c5f801e4,404,687,270
f7d8b0cd,401,685,266
a8c1628d,414,747,272
