Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1291,1213,704,932,920,934,1078,1044
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1211,1223,705,979,920,933,1063,1041
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1211,1223,705,979,920,933,1063,1041
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1213,1208,704,927,933,929,1085,1048
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1544,1215,707,955,916,938,1071,1056
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),2096,1196,705,1006,933,924,1067,1043
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1253,1209,710,929,932,964,1080,1055
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1215,1200,705,1006,935,935,1112,1057
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1264,1202,702,933,934,913,1085,1046
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1278,1203,707,967,932,939,1301,1047
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1216,1199,705,994,933,930,1081,1042
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1217,1207,710,1005,926,936,1069,1045
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1219,1203,709,994,926,925,1092,1061
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1282,1208,710,1009,944,925,1070,1057
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1280,1202,707,930,929,925,1090,1050
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1273,1199,719,933,916,941,1065,1047
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1311,1324,710,946,933,943,1058,1055
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1280,1323,704,965,926,1001,1062,1046
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1237,1210,711,983,932,954,1051,1049
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1237,1210,711,929,932,,1051,1049
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1241,1205,711,972,929,,1082,1048
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1627,1200,722,1025,927,,1091,1060
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1300,1209,715,942,936,,1068,1058
5750b9e3,2025-06-20,gcycle update (#2747),1369,1200,714,1028,930,,1065,1066
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1953,1207,712,973,936,,1074,1057
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1283,1217,715,961,930,,1072,1068
