Hash,orion,hera,gaeac6
688de8eb,,37,20
7e711129,38,36,20
d4bac232,38,36,20
118cff46,37,28,22
071b9f95,142,34,21
dc9cfba6,229,33,19
a180bbe4,,34,19
417a2cf1,33,33,21
61e54d9b,36,34,18
ce74044c,67,35,18
d820b67f,34,39,18
5e13aaf2,34,35,
e39a250c,35,34,
8b52797d,35,33,18
93d51aef,35,41,17
c5b3a3c8,35,34,
f9c10462,36,150,
0e960577,35,188,17
065def80,70,28,18
995c51d1,70,28,18
1f0ab432,67,26,20
8f8fddc8,111,30,20
24d8dfd4,57,25,18
5750b9e3,130,35,18
a9999828,,35,19
9193010a,118,33,18
43f2c3bd,52,35,17
f22b2e11,52,35,17
aebf9781,67,35,18
4cbe50f4,72,33,18
269e181a,72,33,18
68fd7faa,105,44,18
1c5a9f12,105,36,18
aba31a4e,,,
b81282e5,,,
5a297a6e,,,
ff162f36,,,
9e4778cd,,,
4a566203,,,
4f0111b2,,,
c0d4de3c,,,
7cc588ae,,,
9b9a6304,,,
4e75e7b4,,,
69d03840,,,
0d1af3e3,,,
6ece76a2,,,
c5f801e4,,,
f7d8b0cd,,,
a8c1628d,,,
