Hash,orion,hera,gaeac6
688de8eb,,479,298
7e711129,488,482,299
d4bac232,488,482,299
118cff46,490,483,301
071b9f95,948,479,301
dc9cfba6,693,480,303
a180bbe4,,479,300
417a2cf1,488,480,304
61e54d9b,492,475,299
ce74044c,494,478,296
d820b67f,494,479,298
5e13aaf2,489,477,
e39a250c,491,475,
8b52797d,506,480,300
93d51aef,492,491,298
c5b3a3c8,562,478,
f9c10462,572,560,
0e960577,516,589,299
065def80,675,481,298
995c51d1,675,481,298
1f0ab432,512,481,299
8f8fddc8,704,479,301
24d8dfd4,538,487,300
5750b9e3,536,482,300
a9999828,,487,300
9193010a,549,497,303
43f2c3bd,513,486,301
f22b2e11,513,486,301
aebf9781,507,491,297
4cbe50f4,540,481,298
269e181a,540,481,298
68fd7faa,510,504,298
1c5a9f12,510,495,298
aba31a4e,597,481,297
b81282e5,597,481,297
5a297a6e,704,496,302
ff162f36,523,508,305
9e4778cd,525,498,306
4a566203,629,500,305
4f0111b2,523,500,305
c0d4de3c,531,496,304
7cc588ae,523,500,307
9b9a6304,521,499,303
4e75e7b4,522,522,303
69d03840,524,497,305
0d1af3e3,520,491,305
6ece76a2,525,499,305
c5f801e4,528,501,308
f7d8b0cd,523,505,318
a8c1628d,526,513,306
