Hash,orion,hera,gaeac6
688de8eb,,143,78
7e711129,157,144,78
d4bac232,157,144,78
118cff46,155,139,93
071b9f95,220,148,78
dc9cfba6,409,151,77
a180bbe4,,143,88
417a2cf1,152,143,78
61e54d9b,223,144,77
ce74044c,218,144,77
d820b67f,151,147,76
5e13aaf2,152,144,
e39a250c,153,146,
8b52797d,203,143,76
93d51aef,202,146,76
c5b3a3c8,208,142,
f9c10462,152,274,
0e960577,156,257,77
065def80,177,141,77
995c51d1,177,141,77
1f0ab432,182,143,76
8f8fddc8,444,143,84
24d8dfd4,201,144,74
5750b9e3,208,140,75
a9999828,,143,76
9193010a,258,150,74
43f2c3bd,178,151,76
f22b2e11,178,151,76
aebf9781,186,147,75
4cbe50f4,205,146,76
269e181a,205,146,76
68fd7faa,203,144,78
1c5a9f12,203,151,78
aba31a4e,,,
b81282e5,,,
5a297a6e,,,
ff162f36,,,
9e4778cd,,,
4a566203,,,
4f0111b2,,,
c0d4de3c,,,
7cc588ae,,,
9b9a6304,,,
4e75e7b4,,,
69d03840,,,
0d1af3e3,,,
6ece76a2,,,
c5f801e4,,,
f7d8b0cd,,,
a8c1628d,,,
