Hash,orion,hera,gaeac6
688de8eb,,715,300
7e711129,960,708,299
d4bac232,960,708,299
118cff46,960,699,302
071b9f95,1025,748,301
dc9cfba6,1548,836,301
a180bbe4,,679,302
417a2cf1,951,707,301
61e54d9b,1005,704,310
ce74044c,998,706,299
d820b67f,949,732,298
5e13aaf2,941,707,
e39a250c,1046,711,
8b52797d,1001,684,296
93d51aef,1030,710,297
c5b3a3c8,990,699,
f9c10462,1095,835,
0e960577,1018,825,296
065def80,952,707,299
995c51d1,952,707,299
1f0ab432,965,533,310
8f8fddc8,1237,522,316
24d8dfd4,1019,527,304
5750b9e3,1014,526,304
a9999828,,538,309
9193010a,1001,533,307
43f2c3bd,945,528,305
f22b2e11,945,528,305
aebf9781,954,561,304
4cbe50f4,1126,528,305
269e181a,1126,528,305
68fd7faa,1115,539,305
1c5a9f12,1115,557,305
aba31a4e,1095,549,306
b81282e5,1095,549,306
5a297a6e,1158,544,302
ff162f36,963,533,305
9e4778cd,964,528,316
4a566203,1155,533,311
4f0111b2,1051,535,304
c0d4de3c,956,544,309
7cc588ae,959,548,305
9b9a6304,968,525,304
4e75e7b4,981,547,305
69d03840,965,531,308
0d1af3e3,967,526,308
6ece76a2,1021,525,311
c5f801e4,950,550,307
f7d8b0cd,957,560,313
a8c1628d,951,527,319
