Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1190,1150,610,990,,714,958,908
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1254,1132,607,1053,,712,1459,898
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1221,1138,609,1028,,707,918,905
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1273,1144,605,1044,825,722,947,898
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1197,1145,608,1180,825,713,936,895
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1197,1145,608,1180,825,713,936,895
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1198,1146,599,991,815,709,930,897
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1368,1136,603,1121,807,714,922,909
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1694,1156,606,1039,817,735,941,897
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1196,1147,609,994,824,711,939,905
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1186,1150,617,1063,811,729,956,904
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1259,1174,604,1026,812,711,938,899
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1245,1168,600,992,822,737,1120,898
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1184,1146,603,1078,818,717,935,897
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1185,1153,601,1057,,708,953,891
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1182,1154,610,1053,816,726,968,900
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1187,1142,604,1079,832,715,930,904
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1253,1160,599,1077,820,725,961,897
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1264,1198,612,1049,810,709,919,893
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1216,1239,604,1081,810,713,907,902
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1212,1243,604,1013,813,752,906,897
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1219,1146,606,1026,819,776,902,904
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1219,1146,606,992,819,,902,904
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1274,1174,607,1017,810,,938,900
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1284,1149,611,1178,827,,922,916
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1300,1155,607,1039,818,,915,900
5750b9e3,2025-06-20,gcycle update (#2747),1334,1141,606,1064,812,,925,906
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1255,1152,605,1122,821,,919,907
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1337,1162,602,1016,,,949,919
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1266,1194,609,1010,814,,907,911
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1266,1194,609,1010,814,,907,911
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1273,1169,611,1066,824,,912,906
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1337,1177,606,1047,833,,920,906
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1337,1177,606,1047,833,,920,906
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1317,1165,612,1149,829,,951,920
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1317,1172,612,1084,829,,951,920
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1373,1165,610,1094,825,,959,894
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1373,1165,610,1022,825,,959,894
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1536,1171,607,1102,824,,920,911
