Hash,orion,hera,gaeac6
688de8eb,,1226,671
7e711129,1294,1246,669
d4bac232,1294,1246,669
118cff46,1372,1227,667
071b9f95,1669,1239,664
dc9cfba6,1484,1228,671
a180bbe4,,1242,671
417a2cf1,1287,1238,680
61e54d9b,1313,1237,667
ce74044c,1289,1239,664
d820b67f,1286,1245,668
5e13aaf2,1282,1237,
e39a250c,1285,1256,
8b52797d,1337,1250,666
93d51aef,1296,1236,661
c5b3a3c8,1342,1236,
f9c10462,1362,1356,
0e960577,1284,1374,666
065def80,1626,1257,668
995c51d1,1626,1257,668
1f0ab432,1372,1266,671
8f8fddc8,1499,1265,680
24d8dfd4,1334,1243,666
5750b9e3,1390,1258,666
a9999828,,1238,683
9193010a,1438,1258,671
43f2c3bd,1373,1270,666
f22b2e11,1373,1270,666
aebf9781,1349,1245,656
4cbe50f4,1412,1230,656
269e181a,1412,1230,656
68fd7faa,1366,1242,656
1c5a9f12,1366,1221,656
aba31a4e,1390,1237,655
b81282e5,1390,1237,655
5a297a6e,1560,1240,656
ff162f36,1365,1243,665
9e4778cd,1386,1246,666
4a566203,1471,1243,665
4f0111b2,1403,1243,664
c0d4de3c,1483,1238,665
7cc588ae,1376,1242,662
9b9a6304,1366,1218,661
4e75e7b4,1358,1240,657
69d03840,1389,1239,656
0d1af3e3,1367,1220,656
6ece76a2,1367,1240,665
c5f801e4,1364,1261,669
f7d8b0cd,1374,1231,673
a8c1628d,1372,1232,671
