Hash,orion,hera,gaeac6
688de8eb,,662,300
7e711129,1011,668,300
d4bac232,1011,668,300
118cff46,993,681,302
071b9f95,1126,665,300
dc9cfba6,1646,657,301
a180bbe4,,673,302
417a2cf1,987,660,301
61e54d9b,1128,672,309
ce74044c,1069,671,308
d820b67f,998,667,299
5e13aaf2,1017,658,
e39a250c,1008,665,
8b52797d,1083,658,296
93d51aef,1050,663,298
c5b3a3c8,1056,658,
f9c10462,1140,746,
0e960577,1075,746,297
065def80,1012,658,308
995c51d1,1012,658,308
1f0ab432,1047,693,306
8f8fddc8,1458,663,319
24d8dfd4,1119,676,308
5750b9e3,1089,665,305
a9999828,,673,307
9193010a,1067,673,304
43f2c3bd,1013,677,307
f22b2e11,1013,677,307
aebf9781,1024,670,303
4cbe50f4,1112,672,304
269e181a,1112,672,304
68fd7faa,1152,666,309
1c5a9f12,1152,603,309
aba31a4e,1117,571,306
b81282e5,1117,571,306
5a297a6e,1414,593,304
ff162f36,1038,576,305
9e4778cd,1037,574,313
4a566203,1263,569,309
4f0111b2,1048,579,306
c0d4de3c,1035,591,310
7cc588ae,1068,566,307
9b9a6304,1009,567,305
4e75e7b4,1007,573,305
69d03840,997,580,307
0d1af3e3,1026,564,307
6ece76a2,1040,577,313
c5f801e4,1010,588,309
f7d8b0cd,993,603,314
a8c1628d,1013,574,316
