Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,684,294,,457,397,527,478
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1044,690,297,,457,394,512,478
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1044,690,297,,457,394,512,478
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),959,706,295,527,451,,537,492
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1338,674,293,,454,415,518,486
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1399,703,295,,459,401,532,475
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,714,300,,,398,528,492
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),992,677,295,,,407,560,481
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),964,683,294,,,395,522,485
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1002,696,293,,,395,540,478
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),962,706,293,,,403,528,478
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),973,681,,,460,397,492,474
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),937,705,,,460,396,539,482
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",973,700,294,,469,398,522,487
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1003,667,293,,457,411,603,485
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1032,681,,,464,397,505,485
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1014,801,,,446,405,493,477
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",975,877,295,572,455,440,490,479
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1015,681,293,,459,422,490,485
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1015,681,293,475,459,,490,485
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),981,499,299,,449,,502,495
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1394,511,306,574,456,,504,490
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1052,512,298,,463,,512,483
5750b9e3,2025-06-20,gcycle update (#2747),1107,504,297,,456,,503,498
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),,520,301,,459,,506,498
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1027,550,300,494,459,,506,497
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),991,530,299,,459,,507,492
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),991,530,299,,459,,507,492
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),972,520,300,,468,,506,489
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1132,521,305,,465,,507,501
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1132,521,305,,465,,507,501
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",995,521,299,,469,,561,482
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",995,509,299,,469,,561,482
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),981,502,298,,468,,538,471
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),981,502,298,,468,,538,471
