Hash,orion,hera,gaeac6
688de8eb,,708,237
7e711129,943,697,259
d4bac232,943,697,259
118cff46,949,697,242
071b9f95,1022,710,236
dc9cfba6,1722,816,239
a180bbe4,,683,238
417a2cf1,936,705,240
61e54d9b,1066,718,244
ce74044c,1036,712,235
d820b67f,964,704,234
5e13aaf2,941,691,
e39a250c,956,696,
8b52797d,1015,692,236
93d51aef,983,689,237
c5b3a3c8,1022,713,
f9c10462,1075,820,
0e960577,983,782,234
065def80,933,737,244
995c51d1,933,737,244
1f0ab432,971,458,243
8f8fddc8,1264,450,250
24d8dfd4,1025,456,242
5750b9e3,1043,455,241
a9999828,,454,244
9193010a,973,461,248
43f2c3bd,957,461,241
f22b2e11,957,461,241
aebf9781,977,478,246
4cbe50f4,1045,455,240
269e181a,1045,455,240
68fd7faa,1108,503,294
1c5a9f12,1108,451,294
aba31a4e,1486,454,240
b81282e5,1486,454,240
5a297a6e,1105,489,241
ff162f36,970,449,243
9e4778cd,991,455,241
4a566203,1211,456,245
4f0111b2,950,457,244
c0d4de3c,1103,496,244
7cc588ae,953,490,240
9b9a6304,959,465,240
4e75e7b4,964,460,240
69d03840,956,456,247
0d1af3e3,949,453,247
6ece76a2,977,465,247
c5f801e4,944,470,247
f7d8b0cd,929,479,240
a8c1628d,965,470,257
