Hash,orion,hera,gaeac6
688de8eb,,718,300
7e711129,963,723,302
d4bac232,963,723,302
118cff46,929,740,307
071b9f95,1037,691,300
dc9cfba6,1489,822,300
a180bbe4,,696,304
417a2cf1,967,723,301
61e54d9b,1001,715,311
ce74044c,1027,724,302
d820b67f,937,728,301
5e13aaf2,952,731,
e39a250c,997,698,
8b52797d,996,708,300
93d51aef,1018,714,301
c5b3a3c8,1024,712,
f9c10462,1082,834,
0e960577,1021,787,300
065def80,956,713,309
995c51d1,956,713,309
1f0ab432,961,531,304
8f8fddc8,1287,520,319
24d8dfd4,1026,525,306
5750b9e3,1067,525,306
a9999828,,530,311
9193010a,992,565,308
43f2c3bd,960,527,308
f22b2e11,960,527,308
aebf9781,950,546,307
4cbe50f4,1057,540,306
269e181a,1057,540,306
68fd7faa,1119,536,305
1c5a9f12,1119,608,305
aba31a4e,1022,531,310
b81282e5,1022,531,310
5a297a6e,1220,551,304
ff162f36,1322,560,309
9e4778cd,947,536,317
4a566203,1157,553,317
4f0111b2,959,546,305
c0d4de3c,1124,543,311
7cc588ae,959,529,306
9b9a6304,954,521,308
4e75e7b4,971,531,306
69d03840,951,534,308
0d1af3e3,975,529,308
6ece76a2,948,523,311
c5f801e4,931,562,309
f7d8b0cd,951,542,315
a8c1628d,946,533,318
