Hash,orion,hera,gaeac6
688de8eb,,1321,761
7e711129,1324,1299,761
d4bac232,1324,1299,761
118cff46,1374,1284,757
071b9f95,1361,1303,761
dc9cfba6,1343,1293,766
a180bbe4,,1270,767
417a2cf1,1376,1279,768
61e54d9b,1380,1290,768
ce74044c,1386,1300,763
d820b67f,1324,1319,768
5e13aaf2,1318,1292,
e39a250c,1359,1306,
8b52797d,1390,1317,766
93d51aef,1402,1289,770
c5b3a3c8,1365,1301,
f9c10462,1405,1446,
0e960577,1396,1398,766
065def80,1356,1299,765
995c51d1,1356,1299,765
1f0ab432,1330,1176,766
8f8fddc8,1388,1164,780
24d8dfd4,1368,1202,779
5750b9e3,1332,1182,786
a9999828,,1175,770
9193010a,1370,1188,771
43f2c3bd,1323,1159,768
f22b2e11,1323,1159,768
aebf9781,1583,1422,905
4cbe50f4,1585,1382,901
269e181a,1585,1382,901
68fd7faa,1599,1392,903
1c5a9f12,1599,1405,903
aba31a4e,1732,1387,894
b81282e5,1732,1387,894
5a297a6e,1634,1410,901
ff162f36,1619,1425,930
9e4778cd,1631,1440,936
4a566203,1622,1425,933
4f0111b2,1630,1437,937
c0d4de3c,1658,1435,926
7cc588ae,1617,1533,925
9b9a6304,1611,1432,929
4e75e7b4,1602,1422,930
69d03840,1616,1435,935
0d1af3e3,1612,1449,935
6ece76a2,1630,1440,928
c5f801e4,1635,1460,944
f7d8b0cd,1640,1469,952
a8c1628d,1645,1466,950
