Hash,orion,hera,gaeac6
688de8eb,,715,291
7e711129,957,694,293
d4bac232,957,694,293
118cff46,941,684,296
071b9f95,1063,727,294
dc9cfba6,1681,812,294
a180bbe4,,718,295
417a2cf1,983,732,293
61e54d9b,990,716,301
ce74044c,1036,713,295
d820b67f,981,719,291
5e13aaf2,936,703,
e39a250c,956,702,
8b52797d,997,694,292
93d51aef,1041,716,294
c5b3a3c8,1047,727,
f9c10462,1065,822,
0e960577,978,788,292
065def80,943,733,292
995c51d1,943,733,292
1f0ab432,967,544,297
8f8fddc8,1267,527,314
24d8dfd4,1016,534,298
5750b9e3,1028,526,299
a9999828,,531,298
9193010a,994,541,298
43f2c3bd,956,527,295
f22b2e11,956,527,295
aebf9781,980,560,296
4cbe50f4,1012,540,299
269e181a,1012,540,299
68fd7faa,1156,533,298
1c5a9f12,1156,554,298
aba31a4e,1048,525,298
b81282e5,1048,525,298
5a297a6e,1313,553,298
ff162f36,985,552,300
9e4778cd,986,537,306
4a566203,1190,565,301
4f0111b2,992,574,295
c0d4de3c,966,538,298
7cc588ae,945,531,296
9b9a6304,945,528,299
4e75e7b4,945,541,297
69d03840,967,543,298
0d1af3e3,943,525,298
6ece76a2,955,527,303
c5f801e4,941,535,303
f7d8b0cd,940,544,308
a8c1628d,958,530,310
